제목,축약 내용
"카카오, 日 암호화폐 거래소 인수…‘글로벌 카카오’ 김범수 첫 행보",카카오가 일본 암호화폐 거래소를 인수했다. 김범수 카카오 창업자가 ‘글로벌 카카오’를 실현하겠다며 이사회 의장직을 내려놓은 지 약 한 달 만이다. 카카오는 4일 일본 자회사 카카오픽코마가 지난 3월 31일 기준 일본...
"""암호화폐거래소도 증권처럼""…美 SEC, 규제 감독 방안 검토",미국 증권거래위원회(SEC)가 암호화폐거래소를 기존 증권거래소처럼 정식 거래소로 등록해 규제하는 방안을 모색하고 있다. SEC는 아울러 미 상품선물거래위원회(CFTC)와 협업해 암호화폐거래소 규제의 틀을 만들...
"카카오, 일본 암호화폐 거래소 인수… '비욘드 코리아' 탄력","카카오가 일본 암호화폐 거래소를 인수하면서 블록체인 사업 확장에 박차를 가하고 있다. 김범수 창업주가 의장직에서 물러난 이후 추진해온 '비욘드 코리아'의 일환이다. 카카오 픽코마는 5일 ""카카오공동체의 '비욘드..."
"美 재무부, 러 온라인 암시장·암호화폐거래소 제재","미국 재무부는 5일(현지시간) 러시아 소재 다크넷(온라인 암시장) 사이트 하이드라(Hydra)와 암호화폐 거래소 가란텍스(Garantex)를 제재 대상에 추가한다고 밝혔다. 재닛 옐런 미 재무장관은 ""범죄자들에게 다크넷에서든..."
"美, 러 암호화폐 시장에 제재…""304억원 상당 비트코인 압류""(상보)","김지현 기자,최서윤 기자 = 미국 재무부가 5일(현지시간) 러시아 다크넷 시장 하이드라(Hydra)와 암호화폐 거래소 가란텍스(Garantex)에 대해 제재를 가했다고 로이터통신이 보도했다. 보도에 따르면 미 재무부는 이날 미..."
"카카오, 日 암호화폐 거래소 인수…블록체인 사업 강화",카카오가 일본 암호화폐 거래소 ‘사쿠라 익스체인지 비트코인’을 인수한다. 블록체인과 해외 사업을 강화하기 위해서다. 4일 정보기술(IT)업계에 따르면 카카오의 일본 자회사 카카오픽코마가 최근 일본 암호화폐...
"[코인뉴스] 비트코인, 美 러시아 암호화폐 제재 움직임에 급락","미국 재무부가 러시아 암호화폐 시장 규제 움직임에 본격적으로 나서면서 시세에도 악영향을 미치고 있다. 6일 로이터 통신 등 주요 외신에 따르면 미 재무부는 5일(현지시간) 미 법무부, 연방수사국(FBI) 등과..."
[오늘의 코인] 금리인상 공포에 하락하는 암호화폐 시장,암호화폐 시장이 하락하고 있다. 사진|연합뉴스 라엘 브레이너드 연방준비제도 부의장이 0.5% 금리인상을 시사하는 발언을 해 암호화폐 시장이 하락하고 있다. 6일 국내 암호화폐 거래소 빗썸에 따르면 오전 9시59분...
[중앙 칼럼] 군맹무상<群盲撫象>의 암호화폐,"현재 암호화폐(또는 가상화폐)를 대하는 세계 각국이, 그리고 각 개인들이 바로 이런 모습이지 않을까 싶다. 한편에선 부귀영화를 가져다 준(또는 가져다 줄) 복덩이로 보는가 하면, 다른 한쪽에서는 폭망하는, 절대..."
"인도네시아 정부, 비트코인 등 암호화폐에 세금 부과 결정","인도네시아 정부가 암호화폐에 세금을 부과하기로 했다고 로이터 통신과 CNBC 등이 최근 보도했다. 인도네시아는 암호화폐를 결제 수단으로 사용하는 것을 금지하지만, 상품으로서의 거래는 허용하고 있다. 외신..."
