순번,시장명,시장유형코드,시장 유형,개장일,시군명,시장 주소,상가 수,대표 품목
1,구룡포 시장,0,정기시장,"3일,8일",포항시 남구,구룡포읍 구룡포리 963-2,129,
2,오천 시장,0,정기시장,"5일,10일",포항시 남구,오천읍 세계리 823-4,105,수산물
3,도구 시장,0,정기시장,"2일,7일",포항시 남구,동해면 도구리 668-1,10,"수산물,식료품"
4,장기 시장,0,정기시장,"4일,9일",포항시 남구,장기면 임중리 333-2,13,"농수산물,추어탕,칼국수"
5,흥해 시장,0,정기시장,"2일,7일",포항시 북구,흥해읍 성내리 61-2,129,"농수산물,추어탕,칼국수"
6,신광 시장,0,정기시장,"5일,10일",포항시 북구,신광면 토성리 337,22,농수산물
7,청하 시장,0,정기시장,"1일,6일",포항시 북구,청하면 미남리 382-2,12,
8,송라 시장,0,정기시장,"3일,8일",포항시 북구,송라면 광천리 32-29,0,
9,기계 시장,0,정기시장,"1일,6일",포항시 북구,기계면 현내리 386-2,18,농수산물
10,죽장 시장,0,정기시장,"3일,8일",포항시 북구,죽장면 입암리 858-34,19,농산물
11,기북 시장,0,정기시장,"2일,7일",포항시 북구,기북면 용기리 271-4,5,농산물
12,북부 시장,1,상설시장,상설,포항시 북구,대신동 63-16,113,농산물
13,남부 시장,1,상설시장,상설,포항시 남구,상도동 629,53,농수산물
14,해도오 시장,1,상설시장,상설,포항시 남구,대도동 143-1,44,
15,상대종합 시장,1,상설시장,상설,포항시 남구,상도동 1-12,41,농수산물
16,동해종합 시장,1,상설시장,상설,포항시 남구,해도동 435-2,110,농산물
17,포항큰동해 시장,1,상설시장,상설,포항시 남구,해도동 434-23외,120,
18,대해종합 시장,1,상설시장,상설,포항시 남구,해도동 79-1,108,"농축수산물,식료품"
19,송도 시장,1,상설시장,상설,포항시 남구,송도동 440-6,56,"농축수산물,생활용품"
20,청림 시장,1,상설시장,상설,포항시 남구,청림동 588-2,16,"농산물,생활용품"
21,양학 시장,1,상설시장,상설,포항시 북구,학잠동 83,43,
22,포항중앙 상가,1,상설시장,상설,포항시 북구,대흥동 732-14 외,228,"농산물,생활용품"
23,죽도 시장,1,상설시장,상설,포항시 북구,죽도동 2-4,559,"수산물,생활용품"
24,포항죽도어 시장,1,상설시장,상설,포항시 북구,죽도동 1-8외,113,생활용품
25,죽도농산물 시장,1,상설시장,상설,포항시 북구,죽도동 2-4,220,
26,중앙 시장,1,상설시장,상설,포항시 북구,죽도동 625-15,20,
27,서부 시장,1,상설시장,상설,포항시 북구,용흥동 142-1,20,
28,용흥 시장,1,상설시장,상설,포항시 북구,용흥동 366,146,"식료품,생활용품"
29,두호 시장,1,상설시장,상설,포항시 북구,창포동 630,33,"식료품,생활용품,의류"
30,장량 시장,1,상설시장,상설,포항시 북구,장성동 866-302,39,
31,장성종합 시장,1,상설시장,상설,포항시 북구,장성동 866-301,30,
32,그린종합 시장,1,상설시장,상설,포항시 북구,장성동 1352-1,28,
33,환호그린빌 시장,1,상설시장,상설,포항시 북구,환호동 377-5,35,음식점
34,오천삼광 시장,1,상설시장,상설,포항시 남구,오천읍 구정리 34-5,61,
35,영남 시장,1,상설시장,상설,포항시 남구,동해면 약전리 436-3,53,
36,연일전통 시장,1,상설시장,상설,포항시 남구,연일읍 생지리 194-1,116,"식료품,생활용품"
37,한라종합 시장,1,상설시장,상설,포항시 북구,용흥동 357-1,63,"식료품,공산품"
38,효자 시장,1,상설시장,상설,포항시 남구,효자동 303-1,205,
39,운하송림 시장,1,상설시장,상설,포항시 남구,송도동 493-11,37,
40,오천중앙 시장,1,상설시장,상설,포항시 남구,오천읍 세계리 847-5,22,"농축수산물,식료품"
41,오천대영 시장,1,상설시장,상설,포항시 남구,오천읍 용덕리 400-2,34,"식료품,생활용품"
42,오천용덕 시장,1,상설시장,상설,포항시 남구,오천읍 용덕리 330-15,36,"식료품,생활용품"
43,오천제일상가 시장,1,상설시장,상설,포항시 남구,오천읍 용덕리 324-1,33,
44,광장 시장,1,상설시장,상설,포항시 남구,대도동 127-8,36,"식료품,생활용품"
45,영포종합상가,1,상설시장,상설,포항시 남구,대도동 7-6,25,"식료품,생활용품"
46,대도평화 시장,1,상설시장,상설,포항시 남구,대도동 101-29,24,"수산물,음식점"
47,대도 시장,1,상설시장,상설,포항시 남구,대도동 649,22,농산물
48,현대종합 시장,1,상설시장,상설,포항시 남구,해도동 41-7,40,
49,이동 시장,1,상설시장,상설,포항시 남구,이동 469-8,32,
50,항구 시장,1,상설시장,상설,포항시 북구,항구동 344-9,20,"농축수산물,생활용품"
51,죽도종합 상가,1,상설시장,상설,포항시 북구,"죽도동 602-2, 36",22,"농축수산물,생활용품"
52,칠성 시장,1,상설시장,상설,포항시 북구,죽도동 670-11,27,"농수산물,생활용품"
53,해변종합큰 상가,1,상설시장,상설,포항시 북구,두호동 1037-4,21,"수산물,식료품"
54,삼경 시장,1,상설시장,상설,포항시 북구,두호동 1037-8,23,
55,성도시장형 상가,1,상설시장,상설,포항시 북구,두호동 1037-4,31,"농축수산물,식료품"
56,장량종합큰 상가,1,상설시장,상설,포항시 북구,두호동 1079,28,
57,장성개발 시장,1,상설시장,상설,포항시 북구,장성동 866-152,26,
58,아주종합 상가,1,상설시장,상설,포항시 북구,환호동 506,30,농수산물
59,터미널종합 시장,1,상설시장,상설,포항시 남구,상도동 611-19,24,"농수산물,식료품,생활용품"
60,영일만 시장,1,상설시장,상설,포항시 남구,대도동 170-2,29,"농산물,음식점"
61,성동 시장,1,상설시장,상설,경주시,성동동 51-1,610,"건어물, 젓갈류, 해산물 등"
62,감포 시장,0,정기시장,"3일,8일",경주시,감포읍 감포로 115,51,"참기름, 고추, 돔베기, 포목 등"
63,안강 시장,0,정기시장,"4일,9일",경주시,안강읍 안강시장길 24-6,207,"농산물, 버섯 등"
64,건천 시장,0,정기시장,"5일,10일",경주시,건천읍 건천리 339,44,
65,외동 시장,0,정기시장,"3일,8일",경주시,외동읍 입실리 1020,78,"농산물, 미나리 등"
66,불국사상가 시장,1,상설시장,상설,경주시,진현동 66-5,102,"수산물, 농산물 등"
67,불국 시장,0,정기시장,"4일,9일",경주시,구정동 430,34,"수산물, 농산물 등"
68,양남 시장,0,정기시장,"4일,9일",경주시,양남면 하서리 1644-2,53,"산나물, 곤달비, 농산물 등"
69,양북 시장,0,정기시장,"5일,10일",경주시,양북면 어일리 1295-180,66,"산나물, 농산물 등"
70,산내 시장,0,정기시장,"3일,8일",경주시,산내면 의곡리 155-10,26,농산물 등
71,서면 시장,0,정기시장,"1일,6일",경주시,서면 아화리 240-2,18,"토산품, 식당 등"
72,중앙 시장,1,상설시장,상설,경주시,성건동 339-2,700,"농산물, 의류, 식료품 등"
73,경주중심상가 시장,1,상설시장,상설,경주시,노동동 140-1,454,"떡, 토종한우, 농산물 등"
74,제이경주중심상가 시장,1,상설시장,상설,경주시,노동동 230,230,"의류, 악세사리, 금은방 등"
75,북부상가 시장,1,상설시장,상설,경주시,성건동 629-10,150,"전통찻집, 전통공예품, 의류, 액세서리, 금은방 등"
76,북정로중심상가 시장,1,상설시장,상설,경주시,황오동 242-4,39,"음식점, 식품류, 세탁수선, 의류 등"
77,동천 시장,1,상설시장,상설,경주시,동천동 789-4,26,"의류, 신발, 음식점 등"
78,황남 시장,1,상설시장,상설,경주시,포석로 1058-7,50,
79,감호 시장,0,정기시장,"5일,10일",김천시,아랫장터5길 31-2 (감호동),88,"의류,잡화,농산물"
80,평화 시장,1,상설시장,상설,김천시,김천로 100 (평화동),149,"의류,잡화,음식점"
81,황금 시장,1,상설시장,상설,김천시,황금시장4길 20 (황금동),206,"잡화,음식점"
82,부곡 시장,0,정기시장,"5일,10일",김천시,부곡시장2길 16 (부곡동),25,"건어물,소금"
83,중앙 시장,0,정기시장,"5일,10일",김천시,중앙시장길 42 (모암동),50,
84,구담공설 시장,0,정기시장,"4일,9일",안동시,풍천면 구담리 494,61,농산물
85,안동구 시장,1,상설시장,상설,안동시,"남문동, 서부동 일원",234,"안동찜닭,제수용품,의류 등"
86,북문 시장,0,정기시장,"2일,7일",안동시,명륜동 315-16,70,농산물
87,서부 시장,0,정기시장,"2일,7일",안동시,서부시장길 51(태화동),148,농산물
88,신평공설 시장,0,정기시장,"5일,10일",안동시,녹전면 신평리 729,0,농산물
89,온혜공설 시장,0,정기시장,"5일,10일",안동시,도산면 온혜리 566-1,30,농산물
90,옹천사설 시장,0,정기시장,"4일,9일",안동시,북후면 옹천리 555,42,농산물
91,용상공설 시장,1,상설시장,상설,안동시,용상동 1242,52,"과일,채소,의류"
92,운산공설 시장,0,정기시장,"1일,6일",안동시,일직면 운산리 76-1,0,농산물
93,임동공설 시장,0,정기시장,"5일,10일",안동시,임동면 중평리 944,10,농산물
94,정산공설 시장,0,정기시장,"4일,9일",안동시,예안면 정산리 629-21,30,"농산물,혼수용품, 의류"
95,중앙신 시장,1,상설시장,상설,안동시,대안로 98-15,340,농산물
96,천지공설 시장,0,정기시장,"5일,10일",안동시,길안면 천지리 746-13,0,농산물
97,풍산 시장,0,정기시장,"3일,8일",안동시,풍산읍 안교리 123-39,80,농산물
98,구미새마을중앙 시장,1,상설시장,"1일,6일,상설",구미시,구미중앙로9길11(원평동 117-20),198,"농축산물, 생필품, 족발, 수산물, 식육점, 일반음식, 의류"
99,공단종합 시장,1,상설시장,상설,구미시,수출대로3길 107(공단동 107),94,"농산물, 의류, 음식, 통닭"
100,현대유통쇼핑센터,1,상설시장,상설,구미시,구미중앙로 61-10(원평동 119-2),213,"한복, 음식점, 잡화, 의류"
101,금오 시장,1,상설시장,상설,구미시,금오시장로 13(원평동1028-2),258,"음식점, 부동산, 잡화류"
102,인동 시장,1,상설시장,"2일,6일,상설",구미시,인동중앙로5길 16-7(황상동307-42),100,"농산물, 의류, 음식"
103,형곡시장프라자,1,상설시장,상설,구미시,형곡서로 121(형곡동 147-1),129,"의류, 잡화, 볼링장"
104,형곡중앙 시장,1,상설시장,상설,구미시,형곡로 186(형곡동 321),74,"음식, 의류, 잡화"
105,구미파크 시장,1,상설시장,상설,구미시,송동로 162(도량동 77),30,"베이커리, 음식"
106,구미산업유통단지,1,상설시장,상설,구미시,3공단1로 302-7(임수동 92-9),728,"공구류, 산업용자재"
